Does the settle walk ever lack a keeping move?  For every machine (every prime to 200, then
every third to 4000), the full-memory settle walk (descending, K = 15, flex rule, no repairs):
at each step, does some move among the 30 (k = 1..15, up and down) inside [0, q^2 - 2] keep every
visited gear off its teeth?  Count the steps with no keeping move (defects), which machines have
one, and whether the landing was a twin anyway (after two repairs).
usage: uv run python research/stack/r8/settle_defects.py

machines 210 (11 to 3947), K = 15, descending, full memory, no repairs: machines with at least one step lacking a keeping move: 27
   q = 11: 1 step(s) with no keeping move: [(3, 3, 1)]; landing 67 not a twin
   q = 13: 1 step(s) with no keeping move: [(3, 5, 1)]; landing 167 not a twin
   q = 17: 1 step(s) with no keeping move: [(4, 5, 1)]; landing 23 not a twin
   q = 23: 2 step(s) with no keeping move: [(3, 13, 1), (4, 11, 1)]; landing 311 twin
   q = 61: 2 step(s) with no keeping move: [(7, 31, 1), (8, 29, 1)]; landing 239 twin
   q = 67: 1 step(s) with no keeping move: [(10, 23, 1)]; landing 239 twin
   q = 73: 3 step(s) with no keeping move: [(7, 43, 1), (13, 19, 1), (14, 17, 1)]; landing 239 twin
   q = 79: 1 step(s) with no keeping move: [(7, 47, 1)]; landing 2999 twin
   q = 83: 2 step(s) with no keeping move: [(7, 53, 1), (8, 47, 1)]; landing 6779 twin
   q = 89: 1 step(s) with no keeping move: [(7, 59, 1)]; landing 6779 twin
   q = 127: 1 step(s) with no keeping move: [(11, 71, 1)]; landing 4799 twin
   q = 431: 7 step(s) with no keeping move: [(23, 281, 1), (39, 193, 1), (41, 181, 2), (42, 179, 1)]; landing 70139 twin
   q = 443: 2 step(s) with no keeping move: [(36, 229, 1), (51, 149, 1)]; landing 70139 twin
   q = 461: 8 step(s) with no keeping move: [(25, 311, 1), (37, 239, 1), (40, 227, 1), (41, 223, 1)]; landing 70139 twin
   q = 479: 3 step(s) with no keeping move: [(36, 263, 1), (37, 257, 1), (44, 223, 1)]; landing 65519 twin
   q = 499: 6 step(s) with no keeping move: [(35, 281, 1), (39, 263, 2), (41, 251, 1), (44, 233, 1)]; landing 70139 twin
   q = 521: 4 step(s) with no keeping move: [(31, 331, 1), (35, 307, 1), (46, 239, 1), (55, 191, 1)]; landing 93239 twin
   q = 547: 2 step(s) with no keeping move: [(31, 349, 1), (39, 293, 2)]; landing 93239 twin
   q = 569: 4 step(s) with no keeping move: [(13, 467, 1), (17, 449, 1), (27, 389, 1), (34, 349, 1)]; landing 93239 twin
   q = 587: 5 step(s) with no keeping move: [(14, 487, 1), (19, 457, 1), (31, 383, 1), (34, 367, 1)]; landing 65519 twin
   q = 601: 4 step(s) with no keeping move: [(12, 521, 1), (26, 433, 1), (29, 419, 1), (36, 373, 1)]; landing 93239 twin
   q = 617: 3 step(s) with no keeping move: [(15, 521, 1), (19, 491, 1), (58, 257, 1)]; landing 93239 twin
   q = 641: 2 step(s) with no keeping move: [(17, 523, 1), (25, 467, 1)]; landing 107099 twin
   q = 653: 5 step(s) with no keeping move: [(14, 571, 1), (16, 563, 1), (17, 557, 1), (25, 491, 1)]; landing 107099 twin
   q = 673: 5 step(s) with no keeping move: [(10, 613, 1), (17, 571, 1), (20, 557, 1), (22, 541, 1)]; landing 93239 twin
   q = 691: 2 step(s) with no keeping move: [(48, 389, 1), (61, 311, 1)]; landing 93239 twin
   q = 719: 2 step(s) with no keeping move: [(18, 601, 1), (35, 487, 1)]; landing 93239 twin
