n=7: wrong_guess=11, wrong_m=4, wrong_upper_bound=4, was_missing=True
n=8: wrong_guess=11, wrong_m=3, wrong_upper_bound=4, was_missing=True
n=23: wrong_guess=29, wrong_m=6, wrong_upper_bound=10, was_missing=True
n=24: wrong_guess=29, wrong_m=5, wrong_upper_bound=10, was_missing=True
n=47: wrong_guess=53, wrong_m=6, wrong_upper_bound=18, was_missing=True
n=48: wrong_guess=53, wrong_m=5, wrong_upper_bound=18, was_missing=True
n=53: wrong_guess=59, wrong_m=6, wrong_upper_bound=20, was_missing=True
n=83: wrong_guess=89, wrong_m=6, wrong_upper_bound=30, was_missing=True
n=89: wrong_guess=97, wrong_m=8, wrong_upper_bound=32, was_missing=True
n=113: wrong_guess=127, wrong_m=14, wrong_upper_bound=42, was_missing=True
n=114: wrong_guess=127, wrong_m=13, wrong_upper_bound=42, was_missing=True
n=115: wrong_guess=127, wrong_m=12, wrong_upper_bound=42, was_missing=True
n=116: wrong_guess=127, wrong_m=11, wrong_upper_bound=42, was_missing=True
n=117: wrong_guess=127, wrong_m=10, wrong_upper_bound=42, was_missing=True
n=118: wrong_guess=127, wrong_m=9, wrong_upper_bound=42, was_missing=True
n=119: wrong_guess=127, wrong_m=8, wrong_upper_bound=42, was_missing=True
n=120: wrong_guess=127, wrong_m=7, wrong_upper_bound=42, was_missing=True
n=139: wrong_guess=149, wrong_m=10, wrong_upper_bound=48, was_missing=True
n=167: wrong_guess=173, wrong_m=6, wrong_upper_bound=20, was_missing=True
n=168: wrong_guess=173, wrong_m=5, wrong_upper_bound=20, was_missing=True
n=173: wrong_guess=179, wrong_m=6, wrong_upper_bound=60, was_missing=True
n=199: wrong_guess=211, wrong_m=12, wrong_upper_bound=68, was_missing=True
n=211: wrong_guess=223, wrong_m=12, wrong_upper_bound=74, was_missing=True
n=212: wrong_guess=223, wrong_m=11, wrong_upper_bound=74, was_missing=True
n=213: wrong_guess=223, wrong_m=10, wrong_upper_bound=74, was_missing=True
n=214: wrong_guess=223, wrong_m=9, wrong_upper_bound=74, was_missing=True
n=215: wrong_guess=223, wrong_m=8, wrong_upper_bound=74, was_missing=True
n=233: wrong_guess=239, wrong_m=6, wrong_upper_bound=80, was_missing=True
n=241: wrong_guess=251, wrong_m=10, wrong_upper_bound=84, was_missing=True
n=242: wrong_guess=251, wrong_m=9, wrong_upper_bound=84, was_missing=True
n=243: wrong_guess=251, wrong_m=8, wrong_upper_bound=84, was_missing=True
n=244: wrong_guess=251, wrong_m=7, wrong_upper_bound=84, was_missing=True
n=245: wrong_guess=251, wrong_m=6, wrong_upper_bound=84, was_missing=True
n=263: wrong_guess=269, wrong_m=6, wrong_upper_bound=90, was_missing=True
n=283: wrong_guess=293, wrong_m=10, wrong_upper_bound=98, was_missing=True
n=284: wrong_guess=293, wrong_m=9, wrong_upper_bound=98, was_missing=True
n=285: wrong_guess=293, wrong_m=8, wrong_upper_bound=98, was_missing=True
n=286: wrong_guess=293, wrong_m=7, wrong_upper_bound=98, was_missing=True
n=287: wrong_guess=293, wrong_m=6, wrong_upper_bound=98, was_missing=True
n=288: wrong_guess=293, wrong_m=5, wrong_upper_bound=98, was_missing=True
n=293: wrong_guess=307, wrong_m=14, wrong_upper_bound=102, was_missing=True
n=294: wrong_guess=307, wrong_m=13, wrong_upper_bound=102, was_missing=True
n=295: wrong_guess=307, wrong_m=12, wrong_upper_bound=102, was_missing=True
n=296: wrong_guess=307, wrong_m=11, wrong_upper_bound=102, was_missing=True
n=297: wrong_guess=307, wrong_m=10, wrong_upper_bound=102, was_missing=True
n=298: wrong_guess=307, wrong_m=9, wrong_upper_bound=102, was_missing=True
n=299: wrong_guess=307, wrong_m=8, wrong_upper_bound=102, was_missing=True
n=317: wrong_guess=331, wrong_m=14, wrong_upper_bound=110, was_missing=True
n=318: wrong_guess=331, wrong_m=13, wrong_upper_bound=110, was_missing=True
n=319: wrong_guess=331, wrong_m=12, wrong_upper_bound=110, was_missing=True
n=320: wrong_guess=331, wrong_m=11, wrong_upper_bound=110, was_missing=True
n=321: wrong_guess=331, wrong_m=10, wrong_upper_bound=110, was_missing=True
n=322: wrong_guess=331, wrong_m=9, wrong_upper_bound=110, was_missing=True
n=323: wrong_guess=331, wrong_m=8, wrong_upper_bound=110, was_missing=True
n=359: wrong_guess=367, wrong_m=8, wrong_upper_bound=74, was_missing=True
n=360: wrong_guess=367, wrong_m=7, wrong_upper_bound=74, was_missing=True
n=389: wrong_guess=397, wrong_m=8, wrong_upper_bound=132, was_missing=True
n=409: wrong_guess=419, wrong_m=10, wrong_upper_bound=140, was_missing=True
n=410: wrong_guess=419, wrong_m=9, wrong_upper_bound=140, was_missing=True
n=411: wrong_guess=419, wrong_m=8, wrong_upper_bound=140, was_missing=True
n=412: wrong_guess=419, wrong_m=7, wrong_upper_bound=140, was_missing=True
n=413: wrong_guess=419, wrong_m=6, wrong_upper_bound=140, was_missing=True
n=443: wrong_guess=449, wrong_m=6, wrong_upper_bound=150, was_missing=True
n=449: wrong_guess=457, wrong_m=8, wrong_upper_bound=152, was_missing=True
n=467: wrong_guess=479, wrong_m=12, wrong_upper_bound=158, was_missing=True
n=479: wrong_guess=487, wrong_m=8, wrong_upper_bound=98, was_missing=True
n=509: wrong_guess=521, wrong_m=12, wrong_upper_bound=174, was_missing=True
n=510: wrong_guess=521, wrong_m=11, wrong_upper_bound=174, was_missing=True
n=511: wrong_guess=521, wrong_m=10, wrong_upper_bound=174, was_missing=True
n=512: wrong_guess=521, wrong_m=9, wrong_upper_bound=174, was_missing=True
n=513: wrong_guess=521, wrong_m=8, wrong_upper_bound=174, was_missing=True
n=514: wrong_guess=521, wrong_m=7, wrong_upper_bound=174, was_missing=True
n=515: wrong_guess=521, wrong_m=6, wrong_upper_bound=174, was_missing=True
n=523: wrong_guess=541, wrong_m=18, wrong_upper_bound=180, was_missing=True
n=524: wrong_guess=541, wrong_m=17, wrong_upper_bound=180, was_missing=True
n=525: wrong_guess=541, wrong_m=16, wrong_upper_bound=180, was_missing=True
n=526: wrong_guess=541, wrong_m=15, wrong_upper_bound=180, was_missing=True
n=527: wrong_guess=541, wrong_m=14, wrong_upper_bound=180, was_missing=True
n=528: wrong_guess=541, wrong_m=13, wrong_upper_bound=180, was_missing=True
n=529: wrong_guess=541, wrong_m=12, wrong_upper_bound=180, was_missing=True
n=530: wrong_guess=541, wrong_m=11, wrong_upper_bound=180, was_missing=True
n=531: wrong_guess=541, wrong_m=10, wrong_upper_bound=180, was_missing=True
n=532: wrong_guess=541, wrong_m=9, wrong_upper_bound=180, was_missing=True
n=533: wrong_guess=541, wrong_m=8, wrong_upper_bound=180, was_missing=True
n=587: wrong_guess=593, wrong_m=6, wrong_upper_bound=198, was_missing=True
n=593: wrong_guess=599, wrong_m=6, wrong_upper_bound=200, was_missing=True
n=619: wrong_guess=631, wrong_m=12, wrong_upper_bound=90, was_missing=True
n=661: wrong_guess=673, wrong_m=12, wrong_upper_bound=224, was_missing=True
n=662: wrong_guess=673, wrong_m=11, wrong_upper_bound=224, was_missing=True
n=663: wrong_guess=673, wrong_m=10, wrong_upper_bound=224, was_missing=True
n=664: wrong_guess=673, wrong_m=9, wrong_upper_bound=224, was_missing=True
n=665: wrong_guess=673, wrong_m=8, wrong_upper_bound=224, was_missing=True
n=677: wrong_guess=683, wrong_m=6, wrong_upper_bound=228, was_missing=True
n=683: wrong_guess=691, wrong_m=8, wrong_upper_bound=230, was_missing=True
n=691: wrong_guess=701, wrong_m=10, wrong_upper_bound=234, was_missing=True
n=692: wrong_guess=701, wrong_m=9, wrong_upper_bound=234, was_missing=True
n=693: wrong_guess=701, wrong_m=8, wrong_upper_bound=234, was_missing=True
n=694: wrong_guess=701, wrong_m=7, wrong_upper_bound=234, was_missing=True
n=695: wrong_guess=701, wrong_m=6, wrong_upper_bound=234, was_missing=True
n=709: wrong_guess=719, wrong_m=10, wrong_upper_bound=240, was_missing=True
n=710: wrong_guess=719, wrong_m=9, wrong_upper_bound=240, was_missing=True
n=711: wrong_guess=719, wrong_m=8, wrong_upper_bound=240, was_missing=True
n=712: wrong_guess=719, wrong_m=7, wrong_upper_bound=240, was_missing=True
n=713: wrong_guess=719, wrong_m=6, wrong_upper_bound=240, was_missing=True
n=719: wrong_guess=727, wrong_m=8, wrong_upper_bound=242, was_missing=True
n=773: wrong_guess=787, wrong_m=14, wrong_upper_bound=158, was_missing=True
